fiscal_year,fund,department,tag_peoples_budget,class,total
2024,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,16334550
2024,General Fund,District Attorney,Courts & the Justice System,Personal Services,46912929
2024,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3373866
2024,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",832275
2024,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2024,General Fund,Finance,Government Operations,Personal Services,11795202
2024,General Fund,Finance,Government Operations,Purchase of Services,5000698
2024,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",47024
2024,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",25758000
2024,General Fund,Finance,Government Operations,Payments to Other Funds,40612698
2024,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,54000000
2024,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,42261000
2024,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",51003181
2024,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1660996026
2024,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",50000
2024,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",49246000
2024,General Fund,Finance - Reg #32,Government Operations,Personal Services,5200000
2024,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2024,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",282052590
2024,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,180094
2024,General Fund,Fire,Emergency Services,Personal Services,365611225
2024,General Fund,Fire,Emergency Services,Purchase of Services,13854729
2024,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",14142530
2024,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2024,General Fund,Fire,Emergency Services,Payments to Other Funds,7186300
2024,General Fund,First Judicial District,Courts & the Justice System,Personal Services,116833778
2024,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,9875191
2024,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2343461
2024,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2024,General Fund,Fleet Services,Government Operations,Personal Services,21146675
2024,General Fund,Fleet Services,Government Operations,Purchase of Services,6430287
2024,General Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",27676744
2024,General Fund,Fleet Services,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Fleet Services - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",15359245
2024,General Fund,Free Library,Libraries,Personal Services,59121703
2024,General Fund,Free Library,Libraries,Purchase of Services,4299722
2024,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",7513098
2024,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2024,General Fund,Human Relations Commission,Government Operations,Personal Services,2646469
2024,General Fund,Human Relations Commission,Government Operations,Purchase of Services,71901
2024,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",38031
2024,General Fund,Human Services,Youth Services,Personal Services,37396767
2024,General Fund,Human Services,Youth Services,Purchase of Services,180510950
2024,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",1802170
2024,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",0
2024,General Fund,Labor,Government Operations,Personal Services,4249815
2024,General Fund,Labor,Government Operations,Purchase of Services,497319
2024,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",21420
2024,General Fund,Law,Government Operations,Personal Services,16857049
2024,General Fund,Law,Government Operations,Purchase of Services,11813145
2024,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",184676
2024,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Licenses & Inspection,Government Operations,Personal Services,28501910
2024,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,14946444
2024,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",809475
2024,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,86609
2024,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,172107
2024,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2024,General Fund,Managing Director,Government Operations,Personal Services,31961256
2024,General Fund,Managing Director,Government Operations,Purchase of Services,147139729
2024,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",3804618
2024,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",4300000
2024,General Fund,Managing Director,Government Operations,Payments to Other Funds,0
2024,General Fund,Managing Director - Defenders Association,Government Operations,Purchase of Services,61997780
2024,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Personal Services,2203640
2024,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Purchase of Services,808002
2024,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,"Materials, Supplies & Equip.",12000
2024,General Fund,Mayor's Office,Government Operations,Personal Services,5288872
2024,General Fund,Mayor's Office,Government Operations,Purchase of Services,727680
2024,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",51192
2024,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",100000
2024,General Fund,Mural Arts Program,Arts & Culture,Personal Services,629179
2024,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,3054141
2024,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,3661271
2024,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,25259177
2024,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Materials, Supplies & Equip.",104000
2024,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,5749903
2024,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,12306088
2024,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",364968
2024,General Fund,Office of Children and Families,Government Operations,Personal Services,481098
2024,General Fund,Office of Children and Families,Government Operations,Purchase of Services,0
2024,General Fund,Office of Children and Families,Government Operations,"Materials, Supplies & Equip.",0
2024,General Fund,Office of Children and Families,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,1547054
2024,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,1886857
2024,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Materials, Supplies & Equip.",15998
2024,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Contrib., Indemnities & Taxes",0
2024,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,10635985
2024,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,69544170
2024,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",344127
2024,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",32421
2024,General Fund,Office of Human Resources,Government Operations,Personal Services,6509982
2024,General Fund,Office of Human Resources,Government Operations,Purchase of Services,6127871
2024,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",72903
2024,General Fund,Office of Human Resources,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Office of Innovation and Technology,Government Operations,Personal Services,31866139
2024,General Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,60080243
2024,General Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",4469423
2024,General Fund,Office of Innovation and Technology,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Office of Innovation and Technology - 911,Government Operations,Personal Services,1608732
2024,General Fund,Office of Innovation and Technology - 911,Government Operations,Purchase of Services,22182390
2024,General Fund,Office of Innovation and Technology - 911,Government Operations,"Materials, Supplies & Equip.",8064399
2024,General Fund,Office of the Inspector General,Government Operations,Personal Services,2238188
2024,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,99695
2024,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",8665
2024,General Fund,Office of Property Assessment,Government Operations,Personal Services,16021562
2024,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,1926020
2024,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",362600
2024,General Fund,Office of Sustainability,Government Operations,Personal Services,1511901
2024,General Fund,Office of Sustainability,Government Operations,Purchase of Services,1286984
2024,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",1000
2024,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,175000
2024,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,65706117
2024,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,8673442
2024,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",3538538
2024,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",1500000
2024,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,0
2024,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,7031654
2024,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,21756463
2024,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",116305
2024,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",6500000
2024,General Fund,Police,Police,Personal Services,800086615
2024,General Fund,Police,Police,Purchase of Services,16369164
2024,General Fund,Police,Police,"Materials, Supplies & Equip.",16875982
2024,General Fund,Police,Police,"Contrib., Indemnities & Taxes",0
2024,General Fund,Police,Police,Payments to Other Funds,22500000
2024,General Fund,Prisons,Courts & the Justice System,Personal Services,172050282
2024,General Fund,Prisons,Courts & the Justice System,Purchase of Services,111916569
2024,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",7105822
2024,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1701757
2024,General Fund,Procurement,Government Operations,Personal Services,3612226
2024,General Fund,Procurement,Government Operations,Purchase of Services,3576628
2024,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",46868
2024,General Fund,Procurement,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Public Health,Public Health Centers,Personal Services,69046910
2024,General Fund,Public Health,Public Health Centers,Purchase of Services,70157457
2024,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",8608549
2024,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",0
2024,General Fund,Public Health,Public Health Centers,Payments to Other Funds,923404
2024,General Fund,Public Property,Government Operations,Personal Services,12395405
2024,General Fund,Public Property,Government Operations,Purchase of Services,48484992
2024,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1405461
2024,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Public Property,Government Operations,Payments to Other Funds,33373310
2024,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,109567000
2024,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,37448243
2024,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,31162103
2024,General Fund,Records,Government Operations,Personal Services,3616541
2024,General Fund,Records,Government Operations,Purchase of Services,804122
2024,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",143758
2024,General Fund,Records,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Register of Wills,Government Operations,Personal Services,4450243
2024,General Fund,Register of Wills,Government Operations,Purchase of Services,421959
2024,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",152596
2024,General Fund,Revenue,Government Operations,Personal Services,22626664
2024,General Fund,Revenue,Government Operations,Purchase of Services,5158798
2024,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",1069045
2024,General Fund,Revenue,Government Operations,"Contrib., Indemnities & Taxes",0
2024,General Fund,Sheriff,Courts & the Justice System,Personal Services,30232235
2024,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,1347080
2024,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",1287133
2024,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2024,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,122585099
2024,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,201632422
2024,General Fund,Streets - Disposal,Government Operations,Purchase of Services,55178274
2024,General Fund,Streets,Streets,Personal Services,90005569
2024,General Fund,Streets,Streets,Purchase of Services,5461616
2024,General Fund,Streets,Streets,"Materials, Supplies & Equip.",12439954
2024,General Fund,Streets,Streets,"Contrib., Indemnities & Taxes",53171
